0,405947,-148824,-257123,607.957,-162.37,-445.587
1.00E-05,405707,-147379,-258328,607.333,-160.075,-447.258
2.00E-05,405462,-145933,-259530,606.704,-157.778,-448.925
3.00E-05,405212,-144484,-260728,606.066,-155.48,-450.586
4.00E-05,404956,-143034,-261922,605.419,-153.179,-452.24
5.00E-05,404694,-141581,-263113,604.764,-150.876,-453.888
6.00E-05,404427,-140127,-264300,604.1,-148.57,-455.53
7.00E-05,404154,-138670,-265484,603.428,-146.263,-457.165
8.00E-05,403875,-137212,-266663,602.747,-143.953,-458.793
9.00E-05,403590,-135751,-267839,602.057,-141.642,-460.415
0.0001,403300,-134289,-269011,601.359,-139.328,-462.031
0.00011,403004,-132824,-270179,600.652,-137.013,-463.639
0.00012,402702,-131358,-271343,599.936,-134.695,-465.241
0.00013,402394,-129890,-272504,599.212,-132.376,-466.837
0.00014,402081,-128420,-273660,598.48,-130.054,-468.426
0.00015,401762,-126949,-274813,597.739,-127.731,-470.008
0.00016,401437,-125475,-275962,596.99,-125.406,-471.584
0.00017,401107,-124000,-277107,596.232,-123.08,-473.153
0.00018,400771,-122523,-278248,595.466,-120.751,-474.715
0.00019,400429,-121044,-279385,594.691,-118.421,-476.27
0.0002,400081,-119564,-280518,593.908,-116.089,-477.819
0.00021,399728,-118081,-281647,593.117,-113.756,-479.361
0.00022,399369,-116597,-282772,592.317,-111.42,-480.896
0.00023,399005,-115112,-283893,591.508,-109.084,-482.424
0.00024,398634,-113625,-285010,590.691,-106.746,-483.946
0.00025,398259,-112136,-286123,589.866,-104.406,-485.46
0.00026,397877,-110645,-287232,589.033,-102.065,-486.968
0.00027,397490,-109154,-288336,588.191,-99.7219,-488.469
0.00028,397097,-107660,-289437,587.341,-97.3779,-489.963
0.00029,396699,-106165,-290534,586.482,-95.0324,-491.45
0.0003,396295,-104668,-291626,585.615,-92.6855,-492.93
0.00031,395885,-103170,-292714,584.74,-90.3374,-494.402
0.00032,395470,-101671,-293799,583.856,-87.9879,-495.868
0.00033,395049,-100170,-294879,582.964,-85.6372,-497.327
0.00034,394622,-98667.6,-295954,582.064,-83.2853,-498.779
0.00035,394190,-97163.8,-297026,581.156,-80.9322,-500.223
0.00036,393752,-95658.7,-298093,580.239,-78.578,-501.661
0.00037,393309,-94152.2,-299156,579.314,-76.2227,-503.091
0.00038,392860,-92644.3,-300215,578.381,-73.8662,-504.515
0.00039,392405,-91135.1,-301270,577.439,-71.5088,-505.931
0.0004,391945,-89624.7,-302320,576.49,-69.1503,-507.34
0.00041,391479,-88112.9,-303366,575.532,-66.7907,-508.741
0.00042,391008,-86599.9,-304408,574.565,-64.4301,-510.135
0.00043,390531,-85085.6,-305445,573.591,-62.0685,-511.522
0.00044,390048,-83570.1,-306478,572.608,-59.7063,-512.902
0.00045,389560,-82053.6,-307507,571.618,-57.3433,-514.275
0.00046,389067,-80535.9,-308531,570.62,-54.9796,-515.64
0.00047,388568,-79017,-309551,569.614,-52.6151,-516.999
0.00048,388064,-77497,-310567,568.599,-50.2497,-518.35
0.00049,387554,-75975.9,-311578,567.577,-47.8837,-519.693
0.0005,387038,-74453.7,-312585,566.546,-45.517,-521.029
0.00051,386518,-72930.4,-313587,565.507,-43.1496,-522.358
0.00052,385991,-71406.1,-314585,564.46,-40.7815,-523.679
0.00053,385459,-69880.8,-315578,563.406,-38.4129,-524.993
0.00054,384922,-68354.4,-316567,562.343,-36.0438,-526.299
0.00055,384379,-66827.1,-317552,561.272,-33.6741,-527.598
0.00056,383830,-65298.9,-318531,560.193,-31.3039,-528.889
0.00057,383276,-63769.7,-319507,559.106,-28.9333,-530.173
0.00058,382717,-62239.6,-320477,558.011,-26.5622,-531.449
0.00059,382152,-60708.7,-321444,556.908,-24.1908,-532.717
0.0006,381582,-59176.8,-322405,555.797,-21.819,-533.978
0.00061,381007,-57644.2,-323362,554.679,-19.4469,-535.232
0.00062,380426,-56110.7,-324315,553.552,-17.0745,-536.478
0.00063,379839,-54576.4,-325263,552.418,-14.7019,-537.716
0.00064,379247,-53041.3,-326206,551.276,-12.3291,-538.946
0.00065,378650,-51505.5,-327144,550.125,-9.95609,-540.169
0.00066,378047,-49968.9,-328078,548.967,-7.58294,-541.385
0.00067,377439,-48431.6,-329008,547.802,-5.20968,-542.592
0.00068,376826,-46893.7,-329932,546.628,-2.83635,-543.792
0.00069,376207,-45355,-330852,545.447,-0.462972,-544.984
0.0007,375583,-43815.8,-331767,544.258,1.91041,-546.168
0.00071,374954,-42275.9,-332678,543.061,4.28376,-547.345
0.00072,374319,-40735.4,-333584,541.857,6.65706,-548.514
0.00073,373679,-39194.3,-334485,540.644,9.03026,-549.675
0.00074,373034,-37652.7,-335381,539.424,11.4033,-550.828
0.00075,372383,-36110.5,-336272,538.197,13.7762,-551.973
